region,depth,filter,subset,taxa,percent
Lombok,S,12um,S12,Ciliophora,0.086672331
Lombok,S,12um,S12,Bacillariophyta,0.316769239
Lombok,S,12um,S12,Cercozoa,0.029992094
Lombok,S,12um,S12,Chrysophyceae,0.004065833
Lombok,S,12um,S12,Dinoflagellata,0.254236756
Lombok,S,12um,S12,Foraminifera,0.036875034
Lombok,S,12um,S12,MAST,0.028008088
Lombok,S,12um,S12,Pelagophyceae,0.0150821
Wakatobi,S,12um,S12,Radiolaria,0.04878201
Wakatobi,S,12um,S12,Other,0.060192271
Wakatobi,S,12um,S12,Apicomplexa,0.029274584
Wakatobi,S,12um,S12,Ciliophora,0.129563516
Wakatobi,S,12um,S12,Bacillariophyta,0.296858204
Wakatobi,S,12um,S12,Cercozoa,0.012656698
Wakatobi,S,12um,S12,Chrysophyceae,0.031246324
Wakatobi,S,12um,S12,Dinoflagellata,0.343882205
Wakatobi,S,12um,S12,Foraminifera,0.006485016
Wakatobi,S,12um,S12,MAST,0.028070997
Wakatobi,S,12um,S12,Pelagophyceae,0.012988174
Misool,S,12um,S12,Radiolaria,0.057309395
Misool,S,12um,S12,Other,0.105375985
Misool,S,12um,S12,Apicomplexa,0.11226218
Misool,S,12um,S12,Ciliophora,0.066792261
Misool,S,12um,S12,Bacillariophyta,0.210282604
Misool,S,12um,S12,Cercozoa,0.00839346
Misool,S,12um,S12,Chrysophyceae,0.003908552
Misool,S,12um,S12,Dinoflagellata,0.384175654
Misool,S,12um,S12,Foraminifera,0.03047719
Misool,S,12um,S12,MAST,0.017065449
Misool,S,12um,S12,Pelagophyceae,0.00395727
Waigeo,S,12um,S12,Radiolaria,0.01369574
Waigeo,S,12um,S12,Other,0.056690364
Waigeo,S,12um,S12,Apicomplexa,0.043368609
Waigeo,S,12um,S12,Ciliophora,0.057623267
Waigeo,S,12um,S12,Bacillariophyta,0.423058623
Waigeo,S,12um,S12,Cercozoa,0.005092831
Waigeo,S,12um,S12,Chrysophyceae,0.001132836
Waigeo,S,12um,S12,Dinoflagellata,0.366263805
Waigeo,S,12um,S12,Foraminifera,0.006653644
Waigeo,S,12um,S12,MAST,0.02156533
Waigeo,S,12um,S12,Pelagophyceae,0.004854951
