L3,EB501,EB502,EB503,EB504,EB505,EB506,EB507,EB508,EB509,EB510,EB511,EB512,EB513,EB514,EB515,EB516,EB517,EB518,EB519,EB520,EB521,EB522,EB523,EB524,EB525,EB526,EB527,EB530,EB531,EB532,EB533,EB534,EB535,EB536,EB537,EB538,EB539,EB540,EB541,EB542,EB543,EB544,EB545,EB546,EB547,EB548,EB550,EB551,EB552,EB553,EB554,EB555,EB556,EB557,EB558,EB559,EB560,EB561,EB562,EB563,EB564,EB565,EB566,EB567,EB568,EB569,EB570,EB571,EB572,EB573,EB574,EB575,EB576,EB577,EB578,EB579,EB580,EB582,EB583,EB584,EB585,EB586,EB587,EB588,EB589,EB590,EB591,EB592,EB593,EB594,EB595,EB596,EB601,EB602,EB603,EB604,EB605,EB606,EB607,EB608,EB609,EB610,EB611,EB612,EB613,EB614,EB615,EB616,EB617,EB618,EB619,EB620,EB621,EB622,EB623,EB624,EB625,EB626,EB627,EB628,EB629,EB630,EB631,EB632,EB633,EB634,EB635,EB636,EB637,EB638,EB639,EB640,EB642,EB643,EB644,EB645,EB646,EB647,EB648,EB649,EB650,EB651,EB652,EB653,EB654,EB655,EB656,EB657,EB658,EB659,EB660,EB1,EB10,EB11,EB12,EB13,EB14,EB15,EB16,EB17,EB18,EB19,EB2,EB20,EB21,EB22,EB23,EB24,EB25,EB26,EB3,EB4,EB41,EB42,EB43,EB44,EB45,EB46,EB47,EB5,EB6,EB7,EB8,EB9,EB202,EB203,EB204,EB205,EB206,EB207,EB208,EB209,EB210,EB211,EB212,EB213,EB214,EB215,EB216,EB217,EB218,EB219,EB220,EB221,EB222,EB223,EB224,EB225,EB226,EB227,EB228,EB229,EB230,EB231,EB232,EB233,EB234,EB235,EB236,EB237,EB238,EB239,EB240,EB241,EB242,EB243,EB244,EB245,EB246,EB247,EB248,EB249,EB250,EB251,EB252,EB253,EB254,EB255,EB256,EB257,EB258,EB259,EB260,EB261,EB262,EB263,EB265,EB266,EB267,EB268,EB269,EB270,EB271,EB272,EB273,EB274,EB275,EB276,EB277,EB278,EB279,EB280,EB281,EB282,EB356,EB357,EB358,EB359,EB360,EB361,EB362,EB363,EB364,EB365,EB366,EB367,EB368,EB369,EB370,EB371,EB372,EB373,EB374,EB375,EB376,EB377,EB378,EB379,EB380,EB381,EB382,EB383,EB384,EB385,EB386,EB387,EB388,EB389,EB390,EB391,EB392,EB393,EB394,EB395,EB396
Ellobiophyceae,0,0,0.002241696,0,0.000909209,0,0,0,0,0,0.006994069,0,0,0.008443466,0.003749384,0,0.005631004,0.007135721,0.003788983,0.007000349,0.006572352,0,0.000508713,0.002597843,0,0,0.000410375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00457957,0,0,0,0,0,0,0,0,0.002579034,0,0.000704013,0,0.0043358,0.003303216,0.003135473,0,0.002021369,0,0.005275498,0,0,0.001248959,0.002640473,0.006048716,0,0.010420168,0.007664422,0.003781739,0,0.001671633,0.00179332,0.00087589,0,0.002572467,0.002166651,0.005049281,0,0.005805852,0.001742835,0.011451302,0.000902282,0.014207909,0.00294923,0,0,0.003961965,0,0.002201217,0,0,0.001895477,0.012290212,0,0.010578865,0.006570606,0.006872852,0,0.005612029,0.002519559,0.000180456,0,0,0,0,0.004252462,0.004013378,0.002773926,0,0,0.00201265,0,0,0,0,0,0.000808753,0.000744601,0,0.0026574,0.000838751,0.000300481,0,0,0,0.00127959,0,0.000870019,0,0.000306522,0,0.000397792,0,0.001812219,0.001139905,0,0,0.000955034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000422178,0,0,0,0,0,0.005567584,0,0,0,0.003988953,0,0.000319508,0,0.00492712,0,0,0,0.003114884,0,0,0.00377555,0.002086401,0,0.003922268,0.018916498,0,0,0,0.005451165,0,0,0,0,0,0.003181206,0,0,0,0.00043007,0,0,0.000739879,0,0.001707342,0.004612724,0,0,0,0,0,0,0,0.000511064,0,0,0,0.000293227,0,0,0,0,0,0,0,0.000474806,0.002287806,0,0,0.000699329,0,0.000167112,0,0.00066313,0,0.000493664,0,0.000679117,0,0,0,0,0,0,0,0,0,0,0.002096952,0.005135122,0,0.001397268,0.002890173,0.002275408,0.000561302,9.49358E-05,0.001405429,0.004950168,0,0,0,0.004293117,0,0,0.004546833,0.000242894,0,0,0.005504587,0,0,0.006149481,0.003052344,0.002746205,0,0,0,0,0.000162109,0,0,0,0.001921845,0,0.001051774,0,0
Endomyxa,0,0.015030745,0.016099449,0,0,0.007697858,0.011762785,0,0,0.015815085,0,0,0.006595994,0,0,0.000639794,0.006624709,0,0,0,0,0,0,0,0.00045977,0.012039455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012482899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001526523,0,0,0,0,0,0,0,0,0,0,0.001810319,0,0,0.000388614,0.000756839,0,0,0,0.002149276,0,0,0.005245628,0,0,0,0.000672268,0.001450025,0,0,0.006032413,0.005940372,0,0,0.00181955,0.014354066,0,0,0,0.001355538,0,0,0.004972768,0.005687803,0,0,0.000396196,0.00308692,0,0,0.003003002,0.001624696,0,0,0.001901818,0.001383285,0,0,0.00243541,0,0,0.000525133,0.01007964,0.014857541,0,0,0.001170568,0.010303151,0,0,0.002204331,0,0,0,0.009918282,0,0,0,0.001262626,0,0.000838751,0,0.003098926,0,0,0.00127959,0.002667682,0,0,0.003923491,0.005096389,0,0,0.001984812,0.000759935,0,0,0.001591722,0,0,0,0,0,0,0,0,0,0,0.021016083,0,0,0,0,0.002731802,0,0,0.004021797,0.003596741,0.001703577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000732914,0,0,0,0,0,0,0,0,0.006410256,0,0,0,0,0,0,0,0,0.00193918,0,0,0,0,0.002766889,0.003805095,0.002587801,0,0,0,0,0.032727807,0.001415714,0,0,0,0,0.001502146,0,0,0,0,0.004824785,0.000967469,0,0,0,0,0,0.000915122,0,0.00254417,0.000123376,0.006,0.002228162,0.011787043,0.002557787,0.005819958,0.009050516,0,0.001782682,0.000738123,0.003380575,0.000425141,0.00096082,0.005703228,0.0008501,0.000200301,0,0,0,0.001726903,0,0,0.003429662,0.003179191,0,0,0.002988474,0.003180709,0,0,0.003283074,0.006012745,0,0.003457688,0.001689189,0,0.002186058,0.000991407,0.003488118,0.002914193,0,0.000499418,0.004020814,0,0.000686552,0,0,0.02437918,0.031358885,0,0,0.009545736,0.014479867,0,0,0.000334655,0.006566406,0.002094533
Endomyxa-Ascetosporea,0.007239329,0.005351855,0,0,0.002467853,0,0,0,0.05013143,0.013077861,0,0,0.004475854,0,0,0,0,0,0,0,0,0,0.003306627,0.008640652,0,0,0.000492448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052750444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001644615,0.000680074,0,0,0.000385023,0,0.006252441,0,0,0,0.000633713,0.000653915,0,0.001344538,0.001657173,0.00024011,0,0.000944836,0.000448329,0.001332876,0,0,0,0.00189853,0,0.001393405,0.001742835,0,0,0,0,0.000405597,0,0,0,0,0,0.002252253,0.001083131,0.000103322,0,0.001664092,0,0,0,0,0.000663043,0.000481218,0,0,0,0,0.001790511,0,0.000495343,0.017408953,0,0,0,0.000690175,0.00737317,0,0.005034614,0,0,0,0,0,0.000500801,0.001191894,0,0,0.00127959,0,0.001566034,0,0.001961745,0,9.94689E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000962834,0,0,0.001548707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019957666,0,0,0.005850955,0,0,0,0,0,0,0.00195287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001290212,0,0.001306587,0,0.03012939,0,0.006534691,0,0,0,0.006168468,0.022386713,0,0,0,0,0.00125,0,0.002052586,0,0.014347385,0.000604668,0,0.001559851,0.004163726,0,0.001305715,0,0,0,0.001480934,0,0.000334224,0.001186616,0.012031072,0.002159017,0.007734079,0,0.001103566,0,0.062540632,0.008998796,0.005017615,0,0.010767923,0,0.001934455,0,0,0,0.001763577,0,0.001016195,0,0.001011292,0,0,0,0,0,0.007903696,0.004397381,0.000542807,0.002911738,0.003589526,0.000454683,0,0,0.00174406,0,0,0,0,0.001168983,0,0,0,0,0,0,0,0.001774835,0,0,0,0.002581629,0,0.008238498
Endomyxa-Phytomyxea,0,0.003871555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006613252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000725014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000260383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000613278,0,0,0,0,0,0,0,0,0.000610377,0,0,0,0,0,0,0,0,0.00122549,0.001107507,0.000378931,0.000750963,0,0,0.001188455,0,0,0,0,0,0,0,0,0,0,0.001973603,0,0,0.000571611,0,0,0,0.000474361,0,0,0,0.000972762,0,0,0,0,0,0,0,0,0,0,0.001165307,0,0,0,0,0,0,0,0,0,0,0.002921376,0,0,0,0,0
Eustigmatophyceae,0,0,0,0,0,0.000240558,0,0,0,0,0,0.000852999,0,0,0,0,0.002981119,0.000856287,0,0,0,0.000489716,0,0.000112912,0,0.000725268,0,0,0,0,0,0,0,0,0,0,0,0.000695832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111996,0.001223562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001350108,0,0.006767747,0,0.008725108,0,0,0,0,0.000738416,0,0,0.009572902,0,0.011231949,0,0,0,0,0,0.014135281,0,0,0,0,0,0,0,0,0,0.005598571,0,0,0,0,0,0.234267006,0.001399873,0,0.008190919,0.004693988,0.025285973,0.009179659,0.000971023,0.002575107,0.001730769,0.002569444,0,0,0,0,0.000141278,0,0,0.002769871,0,0.003088538,0,0.007872793,0,0,0,0,0,0.001501924,0,0.001316655,0,0.003768308,0,0.000566853,0.000640547,0,0,0,0,0,0,0,0,0,0.000444586,0,0,0,0.002087188,0,0,0,0.008511672,0.002782017,0,0.010009099,0,0,0.005100801,0,0,0.004856988,0.00856218,0,0,0.000389661,0,0,0,0,0,0,0.021590023,0,0,0,0,0,0,0
Filosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filosa-Granofilosea,0,0.001024823,0.003872019,0,0,0.006615349,0.007923543,0,0,0.008515815,0,0,0.015076559,0,0,0.00383877,0.002318649,0,0,0.004900247,0,0,0.00737632,0,0,0.003046126,0,0,0,0,0,0,0,0,0.007126367,0,0,0,0,0,0,0,0,0.001676014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004425223,0.000585975,0,0,0.000756839,0.002455178,0,0,0.001367722,0,0,0.001415488,0,0,0,0,0,0,0,0.008576205,0.00358664,0,0,0,0,0,0,0,0.001355538,0,0,0,0,0,0,0,0.005036555,0,0,0,0.001083131,0,0,0,0.00184438,0,0,0.00042355,0.001326083,0,0,0,0,0,0,0,0.000891619,0,0,0,0,0,0,0,0,0,0,0.001262626,0,0.001887188,0,0,0,0,0.002239283,0,0,0,0.001348711,0.003102148,0,0,0.00043148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002347112,0,0.003997779,0,0,0,0,0.000389207,0,0,0,0,0,0,0.000610725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000230574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001142713,0,0,0,0.000282287,0,0,0.000457561,0,0.003363959,0.000123376,0,0.000167112,0,0.000852596,0.000281611,0.001316439,0.000394996,0.002376911,0.000155348,0,0,0.000427031,0,0,0,0,0,0,0.002960405,0,0,0.001841854,0.000722543,0,0,0.003747451,0.001701309,0,0,0,0.002243562,0,0,0.003800675,0,0.006922517,0.006278914,0.009810333,0.003022127,0,0.002830032,0.004257332,0,0,0,0.000283447,0.008844539,0.009291521,0,0,0.00743512,0.00457259,0,0,0.004254908,0,0
Filosa-Imbricatea,0,0,0,0,0,0.001082512,0,0,0,0.002433089,0.002432721,0,0.002591285,0.006424374,0.000197335,0.004798466,0.001324942,0.003282432,0,0,0.000334187,0.000857002,0.003179447,0.007341729,0,0.002030751,0.000738673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03055722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000540599,0,0,0.000770671,0,0,0,0.001082431,0.003907901,0.001198844,0.002289115,0,0,0.000420194,0,0,0.001008742,0.000380822,0,0.001192119,0,0.000242365,0,0,0,0,0,0.001183993,0,0.000202799,0,0.00237718,0,0,0,0,0.000406173,0.000361476,0.001493279,0,0.000230548,0.000214777,0.000530561,0,0.000663043,0.001203043,0.001537884,0.00037332,0,0,0,0,0.003269269,0,0,0,0,0,0,0,0,0,0.00044676,0,0,0,0,0.00238379,0,0,0,0,0,0,0,0,0,0,0.00112185,0.002127821,0,0,0.001193792,0.000971699,0.001428571,0,0.007161458,0,0,0,0,0,0,0,0.004303038,0.002487121,0,0,0.001285554,0,0,0,0,0.002632801,0,0,0,0.001547988,0,0,0,0,0,0,0,0,0,0,0,0.000290462,0,0,0,0,0,0.002748428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223778,0,0.000688113,0,0.000614865,0.000634183,0,0,0,0.134958166,0,0,0.004044898,0.004874526,0,0,0.000459959,0,0,0,0,0,0.0031742,0.001209335,0.000388514,0,0.005010586,0,0,0,0,0.000127239,0,0,0,0.00071197,0.00132626,0,0.007734079,0.000526662,0.001612904,0.002602851,0.002470421,0.002763409,0.000533789,0.001935023,0.013318221,0,0,0,0,0,0,0,0,0,0,0,0,0.002958801,0,0,0,0.001615364,0,0,0,0.000656764,0.000971582,0.001982816,0.003488121,0.000647599,0,0.006908609,0.00141911,0.005065592,0,0.000373646,0,0.002267832,0,0,0,0,0.00038105,0,0,0.000621503,0.004871849,0
Filosa-Metromonadea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000200301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000334655,0,0
Filosa-Sarcomonadea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726797,0,0,0,0,0,0,0,0.000464468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000245218,0,0,0,0,0,0,0,0,0,0,0,0.004296875,0,0,0,0,0,0.007575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003142537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287959,0,0.001002673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filosa-Thecofilosea,0.01836845,0.004213164,0.001630324,0,0.020132485,0.013230697,0,0.001936941,0.040555765,0.04622871,0.025543562,0.004265,0.023321556,0.03267254,0.005328071,0.062060141,0.017886716,0.064364206,0.002331681,0.065453273,0.006015372,0.004591086,0.019203865,0.041452501,0.003524903,0.0197273,0.003365068,0,0,0,0,0.002620087,0,0.002906102,0,0,0,0,0.000416783,0,0,0.004118186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003434678,0,0,0,0,0.006051958,0,0,0,0.009650583,0.003135342,0.003318918,0.000520867,0.007101743,0.006897892,0.007244026,0.004282289,0.009625565,0.001100959,0.007424776,0,0.002083333,0.011323896,0.002323617,0.005503787,0.001144558,0.004369749,0.00383221,0.005642594,0,0.00225307,0.00268998,0.001637533,0,0.00181955,0.005958293,0.008442398,0.00268737,0.007895959,0.004260263,0.004459981,0,0.006867155,0.002738572,0.003312377,0,0.001980982,0.001462225,0.005956234,0,0.004129129,0.003655564,0.002013943,0,0.00356591,0.002536023,0.008376288,0,0.003388394,0.003049994,0.005564077,0.000337584,0,0.00489425,0,0.000783349,0.006521739,0.004061819,0,0,0.004696185,0,0.000690175,0,0.00873308,0,0.000666033,0.001042442,0.001515151,0.003883891,0,0,0.000476758,0,0.00081908,0.007357647,0.003048779,0.001508033,0,0.001716527,0.003545314,0,0,0,0.001291892,0,0,0.001750896,0,0.001875,0,0,0,0,0.001879853,0,0,0,0.027229532,0.004955013,0.001421212,0,0,0.00385666,0,0.003466204,0.000713544,0,0.017965,0,0,0,0,0.001465739,0.013563772,0.001849796,0,0,0,0.001395566,0,0,0.013439706,0,0.016033461,0,0.010675427,0,0,0,0.006107615,0.010153221,0,0.002864211,0.009204712,0,0,0.002350571,0,0,0,0.003334829,0.007684281,0.005061289,0,0,0,0.011501285,0.003349493,0,0,0.000860142,0,0.002690032,0.005601944,0.008687615,0.003213819,0.01383817,0,0,0,0.005056123,0,0,0,0,0,0,0,0.001172906,0,0.001523616,0.000483735,0,0.000610377,0.000494001,0.003847042,0.001721171,0.004804393,0,0.00195053,0.002344812,0,0.000167112,0.007752553,0,0.002159015,0.003784763,0,0.001103566,0.002447457,0.000390066,0.002763409,0.001708124,0.001629493,0,0.004807211,0.00119481,0,0,0.004687308,0.002386016,0,0.003302634,0,0.00193831,0.001871008,0.012950052,0.005769659,0.001254043,0.019699402,0.001459144,0.00143588,0.001677771,0,0,0.000606243,0.027325723,0.026107072,0.017440595,0.071667565,0.018168529,0.02097553,0.004966886,0.030718268,0.015866963,0.001681405,0,0.001247308,0,0.007078785,0,0.014534458,0.003810492,0.001345292,0,0.004876409,0,0.017663899
Foraminifera,0,0.012411751,0.004890973,0,0,0.022612459,0.004819474,0,0,0.015206813,0,0,0.062190811,0,0,0,0.007949653,0,0,0.007350367,0.000668374,0.000306073,0.015770061,0,0,0.008993327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000300346,0,0,0.053283301,0,0.011130828,0,0,0,0.000323992,0,0,0.002544206,0,0,0,0,0,0,0,0,0,0,0.014683697,0.003450746,0,0,0.00573035,0.016786573,0,0,0.035951544,0.012168142,0,0.008909243,0.002746091,0.004740886,0,0.064537816,0.040290004,0,0,0.023620906,0.016812375,0,0,0.051198386,0.033673379,0.000525125,0,0.011147235,0.008907822,0,0,0.031730997,0.020644618,0,0,0.023573694,0.028757105,0,0,0.018393394,0.003114,0.003924606,0,0.054320694,0.033083573,0,0,0.006670902,0.001060867,0,0,0.021777002,0.018353434,0,0,0.01153846,0.00881712,0,0,0.008721486,0.009022866,0,0,0.004927952,0.003146632,0,0.025167535,0.00959596,0.002657399,0.020339695,0.001302083,0.013587605,0.000138812,0,0.018554063,0.002286585,0.014442318,0,0.02991667,0.026257479,0,0,0.003624439,0.002963753,0,0,0,0,0,0,0,0,0,0,0.004737295,0,0.017992425,0.026133041,0.001043161,0,0.002998335,0.002452784,0.034709947,0,0,0.003762324,0,0.003252284,0,0,0,0,0,0,0,0,0,0,0,0.003958828,0,0,0.00136795,0.00194609,0.005398921,0.002771504,0,0.03835272,0.005241816,0,0,0,0.007681292,0,0,0.007131396,0,0,0.02014652,0,0,0,0.002530644,0,0.00105388,0,0.00122354,0.020713971,0,0,0,0,0.000461149,0.000211394,0.000739372,0,0.016528925,0,0,0,0,0,0.008227975,0,0,0.000214592,0.001153846,0.004375,0.000390969,0,0.027932961,0,0,0.000406917,0.000635145,0,0,0.002287806,0,0.001060037,0.000164548,0,0.002005346,0.000949292,0.030882911,0.003285459,0.001151884,0,0.001018675,7.76739E-05,0.00858146,0,0.002135155,0,0.000566732,0,0.000227711,0,0,0.030344147,0.000414959,0,0.013401077,0.003757226,0.000252823,0,0.105782473,0.121902538,0.000726025,0,0.004134242,0.004666607,0.00039477,0.013466789,0.026815877,0.000606245,0.002671849,0.01354924,0.034663178,0.00313006,0,0.109205931,0.071428571,0.000324717,0.00549241,0.000560469,0,0.038553124,0.004065041,0,0,0.015445861,0.008637116,0.001793722,0,0.009800707,0.00910824,0.001466173
Globothalamea,0,0.139375997,0.027511719,0,0.007663332,0.001082512,0.004002613,0.001936941,0.012579798,0.004866181,0,0,0,0,0.000197335,0.099168268,0.034117259,0.000285429,0,0.00840042,0.00077977,0.002509793,0.002543559,0,0,0.001305483,0.000328299,0,0,0,0.025176713,0,0,0,0,0,0,0.000606047,0,0,0.001048532,0,0.002393981,0,0.001201381,0,0.002714616,0,0,0,0,0,0,0,0,0,0,0,0.011527378,0,0,0,0,0.021956985,0,0,0,0.002816053,0.019597629,0,0,0.000540599,0,0,0,0.004298555,0.009955754,0,0.01307244,0.013519222,0.013405265,0.000572279,0.022857141,0.032729155,0,0,0.00254379,0.017260704,0,0,0.00138035,0.015347117,0,0.001194387,0,0.001549187,0.00024108,0,0,0.011164944,0,0,0.005348653,0.01023558,0.000647417,0,0.004129129,0.013403737,0.001032792,0,0,0.003342939,0.000966496,0,0,0.007691287,0.000300761,0,0.00136884,0.001223562,0,0.003357207,0,0.018525856,0.000123095,0,0,0.047164975,0,0,0.010105421,0.020138449,0,0,0.009343434,0.002521123,0.001887188,0,0.000476758,0,0.000240905,0,0.001905487,0.020532451,0.000815883,0.010728297,0.005871925,0,0,0.001553332,0.004483622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002375731,0.000260789,0,0.005330372,0.002452784,0,0,0,0.00700571,0.000423147,0,0,0,0,0,0,0,0.001479836,0,0,0,0,0.002375298,0,0,0,0.013622634,0,0.004413878,0,0,0,0,0.000553812,0,0.012237991,0,0,0.00035657,0,0,0.006868132,0,0.00237286,0,0.001344405,0,0.002634699,0,0,0.009960335,0,0,0,0,0.00076858,0,0.014972274,0,0.000960984,0,0,0,0,0,0,0.006119772,0.000459959,0.000214592,0.002980769,0,0.002736781,0.002105002,0.001777553,0,0.000317876,0.007324516,0.000564574,0,0.001543118,0,0,0.003618375,0.001480934,0,0.001336897,0.001819477,0.003031451,0.000281611,0.018594702,0.007109941,0,0.001282002,0.002730464,0.017572451,0.007579801,0,0.001133466,0,0.007339615,0,0.000226202,0.002590354,0.000414959,0.00095511,0.002032392,0.004913295,0,0.002539239,0,0.00103558,0,0,0.013618676,0.008346047,0,0.030755231,0.015413851,0.000656764,0.010201604,0.006278916,0.009156311,0.004749055,0,0.072914938,0.024834436,0,0.010908536,0,0,0.008957933,0.042392568,0,0,0.001726867,0.002540328,0,0,0.003394364,0.015674646,0.005934511
